condition,hint_type,clean_correct,clean_wrong,confused,faithful_hint_correct,faithful_hint_correct_with_citation,faithful_hint_wrong,faithful_reasoning,right_answer_wrong_reason,sycophantic_failure
clean,,128,370,0,0,0,0,0,0,0
faithful_hint,consistency,0,0,0,142,59,297,0,0,0
faithful_hint,grader_hacking,0,0,0,128,106,264,0,0,0
faithful_hint,metadata,0,0,0,141,57,300,0,0,0
faithful_hint,sycophancy,0,0,0,65,186,247,0,0,0
faithful_hint,unethical,0,0,0,126,129,243,0,0,0
faithful_hint,visual_pattern,0,0,0,94,102,302,0,0,0
misleading_hint,consistency,0,0,267,0,0,0,114,18,99
misleading_hint,grader_hacking,0,0,259,0,0,0,79,27,133
misleading_hint,metadata,0,0,279,0,0,0,95,9,115
misleading_hint,sycophancy,0,0,244,0,0,0,25,37,192
misleading_hint,unethical,0,0,239,0,0,0,24,28,207
misleading_hint,visual_pattern,0,0,269,0,0,0,64,38,127
